======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE    112   1.445726e+02   6.427127e+00   4.791799e+04   4.747954e+02  -8.317313e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.791679e+04   6.427599e-01   3.394778e-01   2.829660e-01
 POSE    113   1.411706e+02   6.427127e+00   3.557061e+03   6.214755e+02  -8.324743e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.698391e+03   5.904618e-01   3.394778e-01   2.484899e-01
 POSE    114   1.272715e+02   6.427127e+00   2.049375e+04   5.745547e+02  -8.316832e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.057506e+04   5.424937e-01   3.394778e-01   2.925513e-01
 POSE    115   1.321796e+02   6.427127e+00   3.198382e+05   5.167177e+02  -8.334105e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.198649e+05   6.470210e-01   3.394778e-01   3.386669e-01
 POSE    116   1.184123e+02   6.427127e+00   1.772454e+03   6.018293e+02  -8.380216e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.865833e+03   6.703330e-01   3.394778e-01   1.938144e-01
 POSE    117   1.394852e+02   6.427127e+00   3.334921e+04   5.004320e+02  -8.299195e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.337037e+04   5.353282e-01   3.394778e-01   2.321155e-01
 POSE    118   1.401933e+02   6.427127e+00   5.247483e+04   5.700136e+02  -8.320257e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.256417e+04   5.544259e-01   3.394778e-01   2.849840e-01
 POSE    119   1.360082e+02   6.427127e+00   3.506517e+04   4.638265e+02  -8.342508e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.504191e+04   4.486349e-01   3.394778e-01   3.108144e-01
 POSE    120   1.388700e+02   6.427127e+00   6.912849e+03   6.872376e+02  -8.325919e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.117524e+03   5.569251e-01   3.394778e-01   1.939411e-01
 POSE    121   1.391325e+02   6.427127e+00   1.448129e+05   7.372957e+02  -8.302245e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.450703e+05   6.677408e-01   3.394778e-01   4.348755e-01
 POSE    122   1.308657e+02   6.427127e+00   6.374767e+03   4.644382e+02  -8.343815e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.346849e+03   6.052287e-01   3.394778e-01   2.102040e-01
 POSE    123   1.131369e+02   6.427127e+00   2.314712e+04   5.620524e+02  -8.336320e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.319984e+04   5.213012e-01   3.394778e-01   2.388705e-01
 POSE    124   1.403594e+02   6.427127e+00   4.340867e+03   5.229781e+02  -8.297583e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.385606e+03   5.091258e-01   3.394778e-01   2.254497e-01
 POSE    125   1.283923e+02   6.427127e+00   1.131443e+05   5.711222e+02  -8.302601e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.132247e+05   4.637069e-01   3.394778e-01   2.536112e-01
 POSE    126   1.218786e+02   6.427127e+00   5.393719e+03   5.707293e+02  -8.366065e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.460880e+03   6.526395e-01   3.394778e-01   2.005924e-01
 POSE    127   1.278543e+02   6.427127e+00   6.353647e+04   4.759640e+02  -8.295922e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.352185e+04   5.956363e-01   3.394778e-01   2.962087e-01
 POSE    128   1.179613e+02   6.427127e+00   2.647891e+04   5.479117e+02  -8.325125e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.652343e+04   6.873986e-01   3.394778e-01   3.062362e-01
 POSE    129   1.353805e+02   6.427127e+00   3.094841e+04   4.051056e+02  -8.330320e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.086702e+04   6.826189e-01   3.394778e-01   2.903503e-01
 POSE    130   1.251668e+02   6.427127e+00   2.605823e+04   6.377349e+02  -8.334755e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.619881e+04   6.767240e-01   3.394778e-01   2.470793e-01
 POSE    131   1.225534e+02   6.427127e+00   8.129221e+02   5.103609e+02  -8.320360e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.249594e+02   6.598099e-01   3.394778e-01   2.157014e-01
 POSE    132   1.438302e+02   6.427127e+00   5.633672e+03   4.932046e+02  -8.302626e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.651603e+03   6.100567e-01   3.394778e-01   2.947321e-01
 POSE    133   1.312473e+02   6.427127e+00   4.832548e+04   6.169777e+02  -8.336511e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.845121e+04   6.732126e-01   3.394778e-01   3.515039e-01
 POSE    134   1.313706e+02   6.427127e+00   6.250881e+03   4.590367e+02  -8.336868e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.218760e+03   6.961094e-01   3.394778e-01   2.668609e-01
 POSE    135   1.341505e+02   6.427127e+00   3.105609e+04   5.444038e+02  -8.319109e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.111390e+04   7.703114e-01   3.394778e-01   2.618219e-01
 POSE    136   1.298199e+02   6.427127e+00   6.571192e+04   5.909913e+02  -8.352818e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.580861e+04   4.589747e-01   3.394778e-01   4.081084e-01
 POSE    137   1.338048e+02   6.427127e+00   8.259526e+04   5.592435e+02  -8.277410e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.267172e+04   6.802475e-01   3.394778e-01   3.443065e-01
 POSE    138   1.317059e+02   6.427127e+00   1.564844e+05   5.045642e+02  -8.330675e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.564988e+05   7.801313e-01   3.394778e-01   2.872027e-01
 POSE    139   1.301085e+02   6.427127e+00   4.181194e+02   4.909690e+02  -8.351737e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.151822e+02   6.839111e-01   3.394778e-01   1.115684e-01
 POSE    140   1.332566e+02   6.427127e+00   9.063205e+04   4.930580e+02  -8.329104e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.063661e+04   5.910759e-01   3.394778e-01   2.008694e-01
 POSE    141   1.244590e+02   6.427127e+00   7.429395e+01   4.653412e+02  -8.318963e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.335681e+01   1.166742e-01   3.394778e-01   1.035050e-01
 POSE    142   1.338194e+02   6.427127e+00   2.938723e+03   4.957611e+02  -8.326802e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.946783e+03   7.798355e-01   3.394778e-01   2.672550e-01
 POSE    143   1.237457e+02   6.427127e+00   7.198967e+04   5.740878e+02  -8.347125e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.206395e+04   6.667048e-01   3.394778e-01   4.374156e-01
 POSE    144   1.405304e+02   6.427127e+00   4.873437e+04   5.664287e+02  -8.304023e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.882208e+04   6.347302e-01   3.394778e-01   2.500788e-01
 POSE    145   1.411693e+02   6.427127e+00   1.589994e+02   4.257131e+02  -8.305729e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.064680e+02   6.537185e-01   3.394778e-01   1.119717e-01
 POSE    146   1.204529e+02   6.427127e+00   1.197759e+04   4.951687e+02  -8.322695e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.197211e+04   5.900798e-01   3.394778e-01   3.109201e-01
 POSE    147   1.327117e+02   6.427127e+00   1.169926e+05   6.001251e+02  -8.352355e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.171014e+05   7.231861e-01   3.394778e-01   3.047618e-01
 POSE    148   1.237197e+02   6.427127e+00   1.282702e+04   5.262238e+02  -8.355093e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.285262e+04   5.614975e-01   3.394778e-01   3.128451e-01
 POSE    149   1.224886e+02   6.427127e+00   1.208250e+04   4.035174e+02  -8.368312e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.198284e+04   6.072276e-01   3.394778e-01   2.740672e-01
 POSE    150   1.195023e+02   6.427127e+00   4.213970e+04   6.256781e+02  -8.316721e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.226437e+04   6.108014e-01   3.394778e-01   3.501475e-01
 POSE    151   1.249522e+02   6.427127e+00   7.647641e+03   6.242287e+02  -8.357292e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.772251e+03   5.408562e-01   3.394778e-01   1.749282e-01
 POSE    152   1.309681e+02   6.427127e+00   1.342795e+05   5.297706e+02  -8.298792e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.343215e+05   5.521648e-01   3.394778e-01   3.661242e-01
 POSE    153   1.265751e+02   6.427127e+00   1.274634e+05   5.947275e+02  -8.331116e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.275628e+05   3.997584e-01   3.394778e-01   5.272957e-01
 POSE    154   1.196482e+02   6.427127e+00   2.664477e+05   5.181520e+02  -8.353215e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.664613e+05   6.951556e-01   3.394778e-01   2.982300e-01
 POSE    155   1.213703e+02   6.427127e+00   1.253716e+04   4.790450e+02  -8.326421e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.251610e+04   2.458106e-01   3.394778e-01   1.733613e-01
 POSE    156   1.287506e+02   6.427127e+00   7.571249e+04   6.264993e+02  -8.324582e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.584644e+04   5.433445e-01   3.394778e-01   2.717242e-01
 POSE    157   1.351466e+02   6.427127e+00   8.572798e+03   4.683794e+02  -8.344084e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.553075e+03   6.423829e-01   3.394778e-01   1.827956e-01
 POSE    158   1.295564e+02   6.427127e+00   3.629830e+03   6.146653e+02  -8.348420e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.750369e+03   4.114261e-01   3.394778e-01   1.610148e-01
 POSE    159   1.321938e+02   6.427127e+00   4.859660e+03   4.382110e+02  -8.335007e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.807723e+03   6.578126e-01   3.394778e-01   3.018361e-01
 POSE    160   1.211825e+02   6.427127e+00   4.395544e+04   5.866103e+02  -8.300348e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.404436e+04   3.926807e-01   3.394778e-01   2.849698e-01
 POSE    161   1.254599e+02   6.427127e+00   5.028154e+03   4.859355e+02  -8.315559e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.019153e+03   7.916421e-01   3.394778e-01   1.452566e-01
 POSE    162   1.193541e+02   6.427127e+00   4.277929e+04   5.209667e+02  -8.358403e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.279493e+04   4.446148e-01   3.394778e-01   3.050197e-01
 POSE    163   1.302737e+02   6.427127e+00   1.551867e+04   4.793367e+02  -8.362291e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.550321e+04   6.594793e-01   3.394778e-01   3.178350e-01
 POSE    164   1.415830e+02   6.427127e+00   1.463547e+05   6.676618e+02  -8.329121e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.465422e+05   5.842152e-01   3.394778e-01   1.997486e-01
 POSE    165   1.453867e+02   6.427127e+00   4.201975e+04   5.918182e+02  -8.315821e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.213653e+04   5.640623e-01   3.394778e-01   2.021803e-01
 POSE    166   1.406105e+02   6.427127e+00   1.013531e+05   5.191623e+02  -8.317762e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.013923e+05   4.125863e-01   3.394778e-01   2.750547e-01
 POSE    167   1.230481e+02   6.427127e+00   9.223034e+02   6.145363e+02  -8.299044e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.041142e+03   5.582615e-01   3.394778e-01   1.979543e-01
 POSE    168   1.247051e+02   6.427127e+00   2.155803e+04   6.314105e+02  -8.327356e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.169257e+04   4.441314e-01   3.394778e-01   1.722955e-01
 POSE    169   1.261666e+02   6.427127e+00   7.254970e+04   5.548020e+02  -8.300414e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.261178e+04   4.009034e-01   3.394778e-01   4.108170e-01
 POSE    170   1.333677e+02   6.427127e+00   5.702823e+04   6.767742e+02  -8.284536e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.722108e+04   5.682817e-01   3.394778e-01   3.676394e-01
 POSE    171   1.360501e+02   6.427127e+00   2.853714e+03   4.864658e+02  -8.296886e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.857700e+03   6.444869e-01   3.394778e-01   1.738694e-01
 POSE    172   1.154574e+02   6.427127e+00   5.026384e+03   5.159708e+02  -8.330461e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.035926e+03   2.773390e-01   3.394778e-01   1.832254e-01
 POSE    173   1.288287e+02   6.427127e+00   2.701015e+04   6.645411e+02  -8.313716e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.718331e+04   6.652185e-01   3.394778e-01   3.159261e-01
 POSE    174   1.372278e+02   6.427127e+00   3.970651e+04   5.605741e+02  -8.322892e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.978318e+04   3.786363e-01   3.394778e-01   1.908642e-01
 POSE    175   1.447018e+02   6.427127e+00   2.471285e+04   6.464354e+02  -8.299873e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.488516e+04   7.027172e-01   3.394778e-01   2.975964e-01
 POSE    176   1.167708e+02   6.427127e+00   5.290097e+03   3.850737e+02  -8.380025e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.165098e+03   7.101157e-01   3.394778e-01   2.507553e-01
 POSE    177   1.209364e+02   6.427127e+00   1.799059e+04   4.300736e+02  -8.337552e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.791900e+04   5.352885e-01   3.394778e-01   2.881325e-01
 POSE    178   1.368054e+02   6.427127e+00   1.347255e+04   6.039348e+02  -8.309726e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.359348e+04   6.442889e-01   3.394778e-01   2.367190e-01
 POSE    179   1.339462e+02   6.427127e+00   1.587148e+04   5.457261e+02  -8.289437e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.593337e+04   5.798907e-01   3.394778e-01   3.079069e-01
 POSE    180   1.177555e+02   6.427127e+00   7.646260e+04   5.818878e+02  -8.320819e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.654132e+04   6.973309e-01   3.394778e-01   3.865428e-01
 POSE    181   1.361212e+02   6.427127e+00   8.514444e+02   6.009305e+02  -8.340815e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.655736e+02   3.933367e-01   3.394778e-01   1.655610e-01
 POSE    182   1.176506e+02   6.427127e+00   4.724774e+04   4.879759e+02  -8.316709e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.723285e+04   7.410507e-01   3.394778e-01   2.396971e-01
 POSE    183   1.262877e+02   6.427127e+00   3.483121e+03   5.216037e+02  -8.323818e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.509789e+03   6.624679e-01   3.394778e-01   1.429222e-01
 POSE    184   1.351706e+02   6.427127e+00   4.189608e+04   4.734263e+02  -8.320714e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.188376e+04   5.590483e-01   3.394778e-01   2.655118e-01
 POSE    185   1.146400e+02   6.427127e+00   1.003455e+04   5.479624e+02  -8.362564e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.007206e+04   5.744362e-01   3.394778e-01   2.158285e-01
 POSE    186   1.306419e+02   6.427127e+00   6.229042e+04   6.643375e+02  -8.323553e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.246421e+04   5.631849e-01   3.394778e-01   3.644355e-01
 POSE    187   1.264666e+02   6.427127e+00   2.605854e+03   5.623204e+02  -8.296887e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.676112e+03   6.794910e-01   3.394778e-01   8.681718e-02
 POSE    188   1.187381e+02   6.427127e+00   2.092932e+04   6.319463e+02  -8.306456e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.106052e+04   6.895979e-01   3.394778e-01   2.075623e-01
 POSE    189   1.290713e+02   6.427127e+00   1.805182e+05   5.790395e+02  -8.329431e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.806045e+05   4.682117e-01   3.394778e-01   2.853763e-01
 POSE    190   1.180227e+02   6.427127e+00   1.597932e+05   4.475790e+02  -8.335441e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.597364e+05   5.887065e-01   3.394778e-01   3.674627e-01
 POSE    191   1.192062e+02   6.427127e+00   1.521568e+03   6.123990e+02  -8.370683e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.627264e+03   4.801709e-01   3.394778e-01   1.525767e-01
 POSE    192   1.126157e+02   6.427127e+00   3.499420e+04   5.268628e+02  -8.330615e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.501178e+04   2.781420e-01   3.394778e-01   2.598247e-01
 POSE    193   1.448568e+02   6.427127e+00   2.261542e+03   5.213468e+02  -8.293029e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.309601e+03   5.045516e-01   3.394778e-01   1.680482e-01
 POSE    194   1.135454e+02   6.427127e+00   6.100099e+04   5.177245e+02  -8.368698e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.100655e+04   6.994110e-01   3.394778e-01   3.258664e-01
 POSE    195   1.162715e+02   6.427127e+00   6.195658e+03   6.021269e+02  -8.371975e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.288018e+03   5.499589e-01   3.394778e-01   2.591192e-01
 POSE    196   1.406542e+02   6.427127e+00   1.599028e+05   5.236378e+02  -8.303533e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.599479e+05   7.535161e-01   3.394778e-01   3.201047e-01
 POSE    197   1.308161e+02   6.427127e+00   4.020689e+03   5.301414e+02  -8.306411e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.062164e+03   7.408131e-01   3.394778e-01   2.016208e-01
 POSE    198   1.222177e+02   6.427127e+00   2.553344e+05   7.180592e+02  -8.303356e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.555555e+05   5.073283e-01   3.394778e-01   5.841130e-01
 POSE    199   1.402715e+02   6.427127e+00   2.888251e+04   5.816545e+02  -8.331983e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.898239e+04   5.558669e-01   3.394778e-01   2.351167e-01
 POSE    200   1.193128e+02   6.427127e+00   2.069958e+04   5.253192e+02  -8.296925e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.072568e+04   6.922952e-01   3.394778e-01   3.087892e-01
 POSE    201   1.396578e+02   6.427127e+00   1.263977e+05   4.912095e+02  -8.331069e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.264066e+05   5.799337e-01   3.394778e-01   4.642549e-01
 POSE    202   1.147135e+02   6.427127e+00   3.893797e+04   4.807047e+02  -8.327893e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.891176e+04   1.901419e-01   3.394778e-01   1.392411e-01
 POSE    203   1.250702e+02   6.427127e+00   1.632519e+04   4.903737e+02  -8.319445e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.631984e+04   7.272704e-01   3.394778e-01   1.755967e-01
 POSE    204   1.430094e+02   6.427127e+00   2.918275e+04   4.244278e+02  -8.319050e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.912944e+04   6.744182e-01   3.394778e-01   2.634537e-01
 POSE    205   1.394112e+02   6.427127e+00   3.478684e+04   5.389076e+02  -8.326974e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.484362e+04   4.034455e-01   3.394778e-01   3.023122e-01
 POSE    206   1.257206e+02   6.427127e+00   1.413216e+04   5.178516e+02  -8.326862e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.415420e+04   6.604305e-01   3.394778e-01   1.818451e-01
 POSE    207   1.212699e+02   6.427127e+00   5.595607e+04   4.834269e+02  -8.311649e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.594076e+04   1.795480e-01   3.394778e-01   1.929380e-01
 POSE    208   1.260604e+02   6.427127e+00   6.805658e+03   3.890596e+02  -8.341290e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.697808e+03   7.229548e-01   3.394778e-01   3.178701e-01
 POSE    209   1.272692e+02   6.427127e+00   7.055829e+04   5.643644e+02  -8.339833e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.062710e+04   5.416966e-01   3.394778e-01   3.860897e-01
 POSE    210   1.178833e+02   6.427127e+00   6.738282e+04   5.659869e+02  -8.366503e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.744120e+04   6.010077e-01   3.394778e-01   2.378560e-01
 POSE    211   1.292644e+02   6.427127e+00   1.302455e+05   5.924826e+02  -8.317552e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.303466e+05   5.075539e-01   3.394778e-01   3.001210e-01
 POSE    212   1.430645e+02   6.427127e+00   1.181255e+04   4.996407e+02  -8.321127e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.183430e+04   6.928280e-01   3.394778e-01   2.744871e-01
 POSE    213   1.300310e+02   6.427127e+00   1.790816e+02   4.549949e+02  -8.360665e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.392001e+02   6.612455e-01   3.394778e-01   1.101348e-01
 POSE    214   1.269333e+02   6.427127e+00   1.112219e+03   5.569046e+02  -8.307094e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.176506e+03   4.884867e-01   3.394778e-01   1.267865e-01
 POSE    215   1.294828e+02   6.427127e+00   1.101385e+05   4.787957e+02  -8.330199e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.101249e+05   6.865795e-01   3.394778e-01   3.884788e-01
 POSE    216   1.363023e+02   6.427127e+00   2.868001e+04   5.299927e+02  -8.291831e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.872828e+04   5.492937e-01   3.394778e-01   2.670516e-01
 POSE    217   1.310602e+02   6.427127e+00   5.616247e+02   5.446049e+02  -8.314521e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.169967e+02   6.244752e-01   3.394778e-01   1.820972e-01
 POSE    218   1.277933e+02   6.427127e+00   1.475959e+05   6.949478e+02  -8.309691e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.477989e+05   7.110261e-01   3.394778e-01   3.539058e-01
 POSE    219   1.179347e+02   6.427127e+00   2.270900e+02   5.270322e+02  -8.311607e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.520553e+02   7.315890e-01   3.394778e-01   9.553922e-02
 POSE    220   1.397171e+02   6.427127e+00   3.258973e+02   5.075536e+02  -8.325802e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.517468e+02   6.560289e-01   3.394778e-01   1.245473e-01
 POSE    221   1.239152e+02   6.427127e+00   4.351220e+03   6.369065e+02  -8.309943e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.492207e+03   6.522609e-01   3.394778e-01   1.934666e-01
 POSE    222   1.163272e+02   6.427127e+00   4.319579e+04   5.770929e+02  -8.374960e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.326287e+04   6.389924e-01   3.394778e-01   3.875202e-01
 POSE    223   1.320237e+02   6.427127e+00   4.195945e+03   5.197123e+02  -8.339463e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.224894e+03   7.403044e-01   3.394778e-01   2.703602e-01
 POSE    224   1.290414e+02   6.427127e+00   5.459857e+04   5.185784e+02  -8.338948e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.462346e+04   6.266315e-01   3.394778e-01   2.539383e-01
 POSE    225   1.266887e+02   6.427127e+00   1.158202e+04   5.731103e+02  -8.305020e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.166247e+04   7.824775e-01   3.394778e-01   2.008419e-01
 POSE    226   1.332073e+02   6.427127e+00   8.553350e+02   5.414891e+02  -8.316783e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.095121e+02   2.446735e-01   3.394778e-01   1.411642e-01
 POSE    227   1.367802e+02   6.427127e+00   3.127340e+04   5.915234e+02  -8.306574e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.138221e+04   5.637875e-01   3.394778e-01   2.361336e-01
 POSE    228   1.252517e+02   6.427127e+00   1.700978e+04   4.644937e+02  -8.308670e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.697982e+04   6.908511e-01   3.394778e-01   2.055713e-01
 POSE    229   1.346585e+02   6.427127e+00   2.368474e+04   5.482901e+02  -8.328903e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.374595e+04   4.612357e-01   3.394778e-01   2.557236e-01
 POSE    230   1.316628e+02   6.427127e+00   7.727923e+02   4.342334e+02  -8.335092e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.163384e+02   6.469831e-01   3.394778e-01   2.245975e-01
 POSE    231   1.340104e+02   6.427127e+00   3.472364e+03   6.312071e+02  -8.335014e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.615239e+03   5.356969e-01   3.394778e-01   2.105510e-01
 POSE    232   1.310600e+02   6.427127e+00   4.558282e+03   5.976053e+02  -8.312816e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.666825e+03   4.350573e-01   3.394778e-01   3.380253e-01
